n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
640,1280,0,cx_heavy,68465,68323,142,0.0020740524355510113,0.6816163063049316,221.9538974761963
640,1280,4,cx_heavy,68213,68056,157,0.0023016140618357206,0.6008682250976562,221.39009523391724
640,1280,1,cx_heavy,68171,67995,176,0.002581742969884555,0.3562045097351074,226.29008555412292
640,1280,2,cx_heavy,68267,68137,130,0.0019042875767208169,0.4497668743133545,229.1154329776764
640,1280,3,cx_heavy,68398,68260,138,0.0020176028538846165,0.35850954055786133,256.7570321559906
640,1280,6,cx_heavy,68396,68240,156,0.0022808351365576933,0.6656179428100586,232.68827748298645
640,1280,5,cx_heavy,68768,68614,154,0.002239413680781759,0.6630408763885498,239.26836919784546
640,1280,7,cx_heavy,68612,68460,152,0.002215355914417303,0.6851832866668701,253.68505334854126
640,1280,9,cx_heavy,68714,68554,160,0.0023284920103617893,0.69049072265625,221.66589260101318
640,1280,8,cx_heavy,68040,67907,133,0.001954732510288066,0.6962635517120361,256.2770941257477
640,1280,10,cx_heavy,68401,68257,144,0.0021052323796435725,0.35285449028015137,174.23840236663818
640,1280,11,cx_heavy,68649,68508,141,0.002053926495651794,0.6530406475067139,183.50185346603394
640,1280,12,cx_heavy,68222,68106,116,0.0017003312714373663,0.3546407222747803,170.547621011734
640,1280,14,cx_heavy,68761,68589,172,0.0025014179549453907,0.34580469131469727,170.31064295768738
640,1280,13,cx_heavy,68097,67980,117,0.001718137362879422,0.34946346282958984,188.17537546157837
640,1280,16,cx_heavy,67957,67797,160,0.0023544300072104417,0.32700228691101074,206.09555220603943
640,1280,15,cx_heavy,68755,68592,163,0.0023707366736964585,0.3269929885864258,221.96461486816406
640,1280,18,cx_heavy,69024,68866,158,0.0022890588780713956,0.33396148681640625,216.45036149024963
640,1280,17,cx_heavy,68781,68649,132,0.0019191346447420073,0.32845306396484375,254.16058468818665
640,1280,19,cx_heavy,68885,68728,157,0.002279160920374537,0.3273639678955078,239.0416898727417
640,1280,22,cx_heavy,68562,68400,162,0.0023628248884221582,0.6831233501434326,173.79475688934326
640,1280,20,cx_heavy,68539,68404,135,0.0019696814952071084,0.6514084339141846,182.87656140327454
640,1280,21,cx_heavy,68712,68571,141,0.0020520433112120153,0.6211779117584229,190.52867794036865
640,1280,23,cx_heavy,68577,68416,161,0.0023477259139361596,0.7578909397125244,178.62141275405884
640,1280,24,cx_heavy,68417,68283,134,0.001958577546516217,0.689955472946167,187.73515915870667
640,1280,25,cx_heavy,68786,68624,162,0.0023551304044427644,0.33454275131225586,235.9310085773468
640,1280,26,cx_heavy,68476,68325,151,0.0022051521701033938,0.32295823097229004,245.65612840652466
640,1280,27,cx_heavy,68512,68363,149,0.0021748014946286784,0.33185791969299316,271.7491009235382
640,1280,28,cx_heavy,68784,68647,137,0.0019917422656431727,0.3294539451599121,285.99602484703064
640,1280,29,cx_heavy,68526,68358,168,0.0024516242010331844,0.6696145534515381,270.093674659729
640,1280,31,cx_heavy,68055,67914,141,0.00207185364778488,0.6861729621887207,191.65763020515442
640,1280,30,cx_heavy,68289,68140,149,0.0021819033812180587,0.6975891590118408,195.84619903564453
640,1280,32,cx_heavy,68177,68050,127,0.001862798304413512,0.6102797985076904,195.13842821121216
640,1280,33,cx_heavy,68248,68127,121,0.0017729457273473216,0.6728463172912598,185.32671809196472
640,1280,34,cx_heavy,68547,68411,136,0.0019840401476359285,0.6749489307403564,199.71882152557373
640,1280,35,cx_heavy,68404,68243,161,0.002353663528448629,0.3305320739746094,255.25702166557312
640,1280,36,cx_heavy,69225,69058,167,0.00241242325749368,0.3370511531829834,266.41091656684875
640,1280,37,cx_heavy,68265,68138,127,0.0018603969823482018,0.32737064361572266,264.2169394493103
640,1280,39,cx_heavy,68871,68695,176,0.002555502315923974,0.6732351779937744,257.71484327316284
640,1280,38,cx_heavy,68853,68690,163,0.0023673623516767607,0.5461924076080322,283.4693202972412
640,1280,40,cx_heavy,68605,68449,156,0.0022738867429487647,0.6660244464874268,246.0351758003235
640,1280,41,cx_heavy,68605,68438,167,0.002434224910720793,0.6687405109405518,270.2352862358093
640,1280,42,cx_heavy,68225,68094,131,0.0019201172590692561,0.6692938804626465,264.48479080200195
640,1280,43,cx_heavy,68687,68560,127,0.001848967053445339,0.681025505065918,259.68177461624146
640,1280,44,cx_heavy,68380,68230,150,0.002193623866627669,0.682450532913208,257.1842577457428
