n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
576,1152,2,cx_heavy,55275,55092,183,0.003310719131614654,0.5211942195892334,170.63817048072815
576,1152,1,cx_heavy,55158,55037,121,0.0021936981036295732,0.527536153793335,179.8587565422058
576,1152,0,cx_heavy,55645,55514,131,0.0023542097223470215,0.5216262340545654,196.2041516304016
576,1152,3,cx_heavy,55350,55197,153,0.0027642276422764228,0.5170812606811523,185.75067019462585
576,1152,4,cx_heavy,55323,55192,131,0.002367912079966741,0.5556738376617432,193.0308108329773
576,1152,6,cx_heavy,55677,55543,134,0.0024067388688327317,0.4664011001586914,182.99079823493958
576,1152,5,cx_heavy,55856,55734,122,0.0021841879117731307,0.5236403942108154,192.67205452919006
576,1152,7,cx_heavy,55386,55271,115,0.0020763369804643775,0.5182244777679443,203.54729461669922
576,1152,8,cx_heavy,55188,55068,120,0.0021743857360295715,0.5378689765930176,181.52844309806824
576,1152,9,cx_heavy,55816,55624,192,0.003439873871291386,0.5283982753753662,164.2787311077118
576,1152,10,cx_heavy,55679,55537,142,0.002550333159719104,0.5273056030273438,170.3003168106079
576,1152,11,cx_heavy,55627,55486,141,0.0025347403239434087,0.56034255027771,181.20649313926697
576,1152,12,cx_heavy,55381,55260,121,0.002184864845344071,0.5471611022949219,178.5196499824524
576,1152,14,cx_heavy,55343,55213,130,0.0023489872251233218,0.5238614082336426,179.00254440307617
576,1152,15,cx_heavy,55805,55633,172,0.003082161096675925,0.44239258766174316,174.89106726646423
576,1152,13,cx_heavy,55330,55218,112,0.0020242183264052053,0.5069503784179688,191.91776585578918
576,1152,16,cx_heavy,55284,55131,153,0.0027675276752767526,0.4926142692565918,167.7357053756714
576,1152,17,cx_heavy,55636,55498,138,0.002480408368682148,0.521873950958252,181.90615391731262
576,1152,18,cx_heavy,55463,55274,189,0.0034076771901988714,0.5081276893615723,190.25668382644653
576,1152,20,cx_heavy,55241,55077,164,0.0029688093988160967,0.5323543548583984,173.68390011787415
576,1152,21,cx_heavy,55748,55619,129,0.0023139843581832533,0.4733552932739258,177.96017837524414
576,1152,19,cx_heavy,55793,55681,112,0.0020074202856989226,0.5350654125213623,200.86482882499695
576,1152,23,cx_heavy,55818,55652,166,0.0029739510552151635,0.5228664875030518,165.85714721679688
576,1152,24,cx_heavy,55500,55382,118,0.002126126126126126,0.5172343254089355,194.07863116264343
576,1152,22,cx_heavy,55417,55303,114,0.0020571304834256635,0.5521965026855469,202.05729794502258
576,1152,25,cx_heavy,55552,55424,128,0.002304147465437788,0.513831377029419,185.75199103355408
576,1152,26,cx_heavy,55609,55464,145,0.00260749159308745,0.29541015625,183.1867036819458
576,1152,27,cx_heavy,55634,55484,150,0.002696192975518568,0.5491080284118652,165.90008568763733
576,1152,28,cx_heavy,55651,55519,132,0.0023719250327936606,0.527778148651123,183.13651847839355
576,1152,31,cx_heavy,55508,55373,135,0.0024320818620739352,0.5104167461395264,183.59213638305664
576,1152,30,cx_heavy,55171,55052,119,0.0021569302713382033,0.5203444957733154,192.17718029022217
576,1152,29,cx_heavy,55572,55443,129,0.0023213128913841504,0.5119788646697998,201.0161635875702
576,1152,33,cx_heavy,55676,55519,157,0.0028198864860981394,0.528949499130249,183.9686496257782
576,1152,32,cx_heavy,55545,55397,148,0.002664506256188676,0.530339241027832,196.3621861934662
576,1152,34,cx_heavy,55597,55487,110,0.001978524021080274,0.5290563106536865,184.10026168823242
576,1152,35,cx_heavy,55197,55049,148,0.0026813051433954745,0.5851552486419678,178.10849261283875
576,1152,37,cx_heavy,55647,55449,198,0.0035581432961345623,0.5206422805786133,176.26753950119019
576,1152,38,cx_heavy,55217,55029,188,0.0034047485375880617,0.5205140113830566,170.05192494392395
576,1152,36,cx_heavy,55915,55782,133,0.002378610390771707,0.5305352210998535,193.56295442581177
576,1152,40,cx_heavy,55444,55305,139,0.0025070341245220402,0.5206468105316162,194.3091926574707
576,1152,39,cx_heavy,55915,55788,127,0.002271304658857194,0.5528755187988281,206.62570452690125
576,1152,41,cx_heavy,55604,55491,113,0.0020322278972735777,0.5351183414459229,178.44318795204163
576,1152,42,cx_heavy,55288,55158,130,0.002351323976269715,0.5261797904968262,194.63934755325317
576,1152,43,cx_heavy,55787,55644,143,0.0025633212038646998,0.5150775909423828,177.24100828170776
576,1152,44,cx_heavy,55384,55253,131,0.0023653040589339883,0.5458371639251709,178.00749135017395
576,1152,46,cx_heavy,55197,55069,128,0.002318966610504194,0.6254847049713135,172.19368410110474
576,1152,47,cx_heavy,55392,55266,126,0.002274696707105719,0.5195341110229492,187.33385014533997
576,1152,45,cx_heavy,55655,55503,152,0.002731111310753751,0.5896549224853516,189.17816472053528
576,1152,48,cx_heavy,55342,55237,105,0.0018972931950417406,0.5411183834075928,185.98653531074524
576,1152,49,cx_heavy,55837,55700,137,0.002453570213299425,0.5227146148681641,183.8205111026764
576,1152,50,cx_heavy,55571,55450,121,0.0021773946842777708,0.5280492305755615,185.4824378490448
576,1152,52,cx_heavy,55460,55322,138,0.0024882798413270826,0.5053863525390625,175.17198491096497
576,1152,51,cx_heavy,55320,55183,137,0.0024765003615328995,0.5177762508392334,182.31832027435303
576,1152,53,cx_heavy,55359,55215,144,0.002601203056413591,0.5198099613189697,187.03477597236633
576,1152,54,cx_heavy,55545,55422,123,0.0022144207399405888,0.5575926303863525,172.06379318237305
576,1152,56,cx_heavy,55486,55360,126,0.0022708430955556357,0.5436108112335205,184.9352650642395
576,1152,55,cx_heavy,55688,55580,108,0.001939376526361155,0.5233142375946045,197.5782985687256
576,1152,57,cx_heavy,55851,55731,120,0.002148573884084439,0.5267395973205566,190.49185633659363
576,1152,59,cx_heavy,55751,55574,177,0.003174830944736417,0.5250723361968994,181.0761821269989
576,1152,58,cx_heavy,55651,55531,120,0.002156295484357873,0.5472609996795654,194.6266736984253
576,1152,61,cx_heavy,55911,55744,167,0.0029868898785569923,0.5255992412567139,174.86983013153076
576,1152,60,cx_heavy,55207,55086,121,0.0021917510460629994,0.45970606803894043,200.9286494255066
576,1152,62,cx_heavy,55833,55720,113,0.002023892679956298,0.5261733531951904,187.91286873817444
576,1152,63,cx_heavy,55540,55412,128,0.0023046453006841917,0.517730712890625,191.94172263145447
576,1152,64,cx_heavy,55638,55514,124,0.0022286926201516948,0.5361051559448242,185.6753008365631
