n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
384,768,4,cx_heavy,24914,24819,95,0.0038131171229027856,0.22190594673156738,53.91786599159241
384,768,3,cx_heavy,24802,24724,78,0.0031449076687363924,0.2545294761657715,57.02605319023132
384,768,0,cx_heavy,24862,24777,85,0.003418872174402703,0.25957250595092773,64.65929079055786
384,768,5,cx_heavy,24760,24669,91,0.0036752827140549274,0.1991748809814453,55.56224489212036
384,768,1,cx_heavy,24807,24731,76,0.0030636513887209254,0.203141450881958,63.65972185134888
384,768,2,cx_heavy,24587,24519,68,0.0027656891853418473,0.2166299819946289,67.30209994316101
384,768,6,cx_heavy,24848,24734,114,0.004587894397939472,0.26917505264282227,55.56596493721008
384,768,8,cx_heavy,24492,24385,107,0.004368773477053732,0.23636722564697266,50.4411416053772
384,768,7,cx_heavy,24634,24542,92,0.003734675651538524,0.27120041847229004,67.37813210487366
384,768,12,cx_heavy,24454,24346,108,0.0044164553856219846,0.25949978828430176,51.51939058303833
384,768,13,cx_heavy,24796,24670,126,0.005081464752379416,0.2719147205352783,54.4538357257843
384,768,10,cx_heavy,25017,24900,117,0.004676819762561458,0.23174262046813965,60.53815269470215
384,768,14,cx_heavy,24932,24844,88,0.003529600513396438,0.25741124153137207,54.23395347595215
384,768,11,cx_heavy,24760,24673,87,0.0035137318255250402,0.2872335910797119,59.44471788406372
384,768,9,cx_heavy,24911,24847,64,0.0025691461603307778,0.22435259819030762,63.71869897842407
384,768,15,cx_heavy,25140,25060,80,0.0031821797931583136,0.22979474067687988,63.22631049156189
384,768,16,cx_heavy,24714,24612,102,0.004127215343529983,0.23630547523498535,50.76548886299133
384,768,17,cx_heavy,24884,24792,92,0.0036971547982639448,0.24258041381835938,64.87331914901733
384,768,22,cx_heavy,24847,24718,129,0.005191773654767175,0.4108693599700928,52.3733184337616
384,768,18,cx_heavy,24987,24889,98,0.00392203946051947,0.31593942642211914,55.03900861740112
384,768,21,cx_heavy,24830,24746,84,0.003383004430124849,0.24629807472229004,58.725791454315186
384,768,19,cx_heavy,24919,24825,94,0.00377222199927766,0.24465417861938477,64.12137866020203
384,768,20,cx_heavy,24557,24474,83,0.0033798916805798753,0.22425389289855957,64.61916184425354
384,768,24,cx_heavy,24673,24579,94,0.003809832610545941,0.27585434913635254,59.80160140991211
384,768,23,cx_heavy,24828,24741,87,0.0035041082648622525,0.21330809593200684,68.28335428237915
384,768,25,cx_heavy,24667,24596,71,0.0028783394818988933,0.27956366539001465,64.20256280899048
384,768,26,cx_heavy,24923,24832,91,0.0036512458371785097,0.2555210590362549,58.97868800163269
384,768,27,cx_heavy,24541,24442,99,0.004034065441506051,0.2663145065307617,59.69245219230652
384,768,28,cx_heavy,24890,24801,89,0.0035757332261952593,0.2387981414794922,60.15147304534912
384,768,30,cx_heavy,24525,24448,77,0.0031396534148827727,0.2979416847229004,54.511709451675415
384,768,29,cx_heavy,24603,24536,67,0.0027232451327073933,0.44714903831481934,58.943854093551636
384,768,32,cx_heavy,24816,24753,63,0.002538684719535783,0.23780107498168945,54.332648515701294
384,768,31,cx_heavy,24502,24406,96,0.003918047506326014,0.24065494537353516,64.4140260219574
384,768,33,cx_heavy,24704,24617,87,0.0035216968911917098,0.22872328758239746,61.60947227478027
384,768,34,cx_heavy,24575,24486,89,0.0036215666327568665,0.23532795906066895,64.24762344360352
