n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
256,512,1,even,19722,19626,96,0.004867660480681472,0.051879167556762695,5.579563617706299
256,512,0,even,19780,19701,79,0.003993933265925177,0.04546380043029785,5.801636695861816
256,512,2,even,19620,19546,74,0.0037716615698267075,0.044933319091796875,5.819776773452759
256,512,5,even,19598,19505,93,0.0047453821818552915,0.07649040222167969,5.49293327331543
256,512,3,even,19624,19538,86,0.004382388911536894,0.044625282287597656,6.577275991439819
256,512,4,even,19694,19617,77,0.0039098202498222805,0.06036734580993652,6.744080066680908
256,512,6,even,19819,19729,90,0.00454109692719108,0.048587799072265625,6.289177179336548
256,512,7,even,19725,19626,99,0.0050190114068441065,0.04516434669494629,6.107130527496338
256,512,8,even,19793,19683,110,0.005557520335472137,0.04535841941833496,6.17806601524353
256,512,9,even,19759,19668,91,0.004605496229566274,0.044315338134765625,5.26714301109314
256,512,11,even,19745,19639,106,0.005368447708280578,0.04695272445678711,5.560352802276611
256,512,10,even,19829,19733,96,0.004841393917998891,0.045847415924072266,5.840703725814819
256,512,13,even,19556,19471,85,0.0043464921251789735,0.04463529586791992,6.271216154098511
256,512,14,even,19526,19444,82,0.004199528833350404,0.04670882225036621,5.876998662948608
256,512,12,even,19522,19416,106,0.00542977153980125,0.04515409469604492,7.000896453857422
256,512,15,even,19817,19711,106,0.005348942826865822,0.044495344161987305,5.433831691741943
256,512,16,even,19741,19671,70,0.0035459196595917127,0.04717206954956055,7.28924822807312
256,512,17,even,19824,19725,99,0.004993946731234867,0.06501460075378418,6.4298927783966064
256,512,20,even,19746,19646,100,0.005064316823660488,0.04479670524597168,5.144865274429321
256,512,19,even,19612,19526,86,0.004385070365082603,0.04485917091369629,5.7143402099609375
256,512,18,even,19726,19629,97,0.004917367940788807,0.07635068893432617,7.499980926513672
256,512,21,even,19674,19583,91,0.004625393920910847,0.0740351676940918,5.5198986530303955
256,512,23,even,19751,19660,91,0.004607361652574553,0.046106576919555664,5.480067729949951
256,512,22,even,19835,19730,105,0.005293672800604991,0.04760432243347168,5.970018625259399
256,512,24,even,19554,19451,103,0.00526746445740002,0.04523587226867676,5.577794313430786
256,512,25,even,19546,19464,82,0.0041952317609741125,0.045351266860961914,5.999406337738037
256,512,27,even,19530,19448,82,0.004198668714797747,0.04431438446044922,5.600795030593872
256,512,26,even,19592,19495,97,0.00495100040832993,0.08264470100402832,6.329269170761108
256,512,28,even,19666,19571,95,0.004830672226177159,0.04434633255004883,6.642906665802002
256,512,29,even,19613,19528,85,0.004333860194768776,0.044611215591430664,5.8360536098480225
256,512,30,even,19404,19317,87,0.004483611626468769,0.044341087341308594,5.688933849334717
256,512,31,even,19458,19355,103,0.005293452564497893,0.05916452407836914,5.8981568813323975
256,512,32,even,19427,19339,88,0.004529778143820456,0.04452037811279297,5.767733573913574
256,512,33,even,19802,19699,103,0.005201494798505201,0.045301198959350586,5.935274839401245
256,512,36,even,19992,19891,101,0.005052020808323329,0.04759860038757324,5.535007476806641
256,512,35,even,19506,19425,81,0.004152568440479852,0.05164980888366699,6.6643290519714355
256,512,34,even,19505,19419,86,0.004409125865162779,0.09283876419067383,6.749767780303955
256,512,38,even,19797,19684,113,0.005707935545789766,0.044608354568481445,5.179487466812134
256,512,37,even,19582,19476,106,0.005413134511285875,0.04490947723388672,5.673488140106201
