n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
384,768,0,even,44135,44005,130,0.0029455081001472753,0.10135197639465332,18.802589893341064
384,768,1,even,44573,44462,111,0.0024902968164583943,0.10086464881896973,19.93380069732666
384,768,2,even,44560,44407,153,0.003433572710951526,0.0997459888458252,17.829906463623047
384,768,3,even,44075,43945,130,0.002949517867271696,0.10070919990539551,19.221399068832397
384,768,5,even,44042,43879,163,0.003701012669724354,0.10111594200134277,18.252781867980957
384,768,6,even,44276,44176,100,0.0022585599421808653,0.10429024696350098,17.731058597564697
384,768,4,even,44328,44225,103,0.0023235878000360945,0.10109448432922363,22.764951705932617
384,768,7,even,44479,44329,150,0.003372377976123564,0.10482192039489746,19.67781710624695
384,768,9,even,44230,44088,142,0.0032104906172281257,0.10016536712646484,16.7515230178833
384,768,8,even,44373,44240,133,0.0029973181889887996,0.10034775733947754,19.180917739868164
384,768,10,even,43984,43849,135,0.003069297926518734,0.10395145416259766,19.59206247329712
384,768,13,even,44297,44168,129,0.002912161094430774,0.10111594200134277,19.085848569869995
384,768,14,even,44337,44221,116,0.0026163249656043484,0.10107231140136719,18.448315143585205
384,768,11,even,44017,43890,127,0.002885248881114115,0.10259389877319336,23.335925340652466
384,768,12,even,44051,43927,124,0.0028149190710767065,0.10641980171203613,21.293250560760498
384,768,16,even,44227,44095,132,0.002984602166097633,0.10088729858398438,18.688853979110718
384,768,15,even,44695,44527,168,0.003758809710258418,0.09935617446899414,19.323307514190674
384,768,17,even,44523,44386,137,0.003077061294162568,0.11117148399353027,18.414686679840088
384,768,18,even,44279,44152,127,0.002868176788093679,0.10273504257202148,20.01281452178955
384,768,19,even,44321,44194,127,0.0028654588118499132,0.10364699363708496,19.61712145805359
384,768,21,even,44378,44238,140,0.0031547163008698005,0.10116362571716309,17.442646503448486
384,768,20,even,44139,44006,133,0.0030132082738621173,0.10558915138244629,18.394781827926636
384,768,25,even,44714,44562,152,0.003399382743659704,0.10015511512756348,17.83229112625122
384,768,22,even,44350,44217,133,0.0029988726042841037,0.12275552749633789,20.314740896224976
384,768,23,even,44599,44481,118,0.002645799233166663,0.1414623260498047,21.446320056915283
384,768,24,even,44235,44110,125,0.002825816661015033,0.10077333450317383,21.71264410018921
384,768,26,even,44355,44221,134,0.0030210799233457335,0.09872579574584961,18.745517015457153
384,768,27,even,43883,43759,124,0.0028256955996627396,0.09927511215209961,19.48081946372986
384,768,28,even,44277,44161,116,0.00261987036158728,0.10135293006896973,20.031928300857544
384,768,30,even,43960,43830,130,0.002957233848953594,0.11932563781738281,17.737399101257324
384,768,29,even,44155,44030,125,0.002830936473785528,0.11037158966064453,20.252411603927612
384,768,33,even,44376,44247,129,0.0029069767441860465,0.10247063636779785,16.862528800964355
384,768,32,even,43863,43759,104,0.002371018854159542,0.10169053077697754,21.58971071243286
384,768,31,even,44303,44155,148,0.0033406315599395077,0.10088062286376953,23.251624822616577
384,768,34,even,44312,44188,124,0.002798339050370103,0.1011345386505127,19.943662881851196
384,768,35,even,44388,44245,143,0.003221591421104803,0.10274124145507812,19.205458641052246
384,768,36,even,44983,44860,123,0.002734366316163884,0.10060644149780273,20.44693398475647
384,768,38,even,44324,44190,134,0.003023192852630629,0.10307121276855469,20.272923707962036
384,768,39,even,44334,44188,146,0.003293183561149456,0.10161781311035156,20.09837508201599
384,768,37,even,44303,44159,144,0.003250344220481683,0.10141468048095703,23.83192753791809
384,768,40,even,44502,44352,150,0.003370635027639207,0.10149264335632324,23.73584270477295
384,768,42,even,44678,44537,141,0.003155915663189937,0.10267925262451172,24.35201120376587
384,768,41,even,44650,44534,116,0.0025979843225083987,0.10480499267578125,26.292567014694214
384,768,43,even,44441,44297,144,0.003240251119461758,0.10005354881286621,27.293004035949707
384,768,44,even,44204,44069,135,0.0030540222604289206,0.10012960433959961,30.677671909332275
384,768,45,even,44268,44113,155,0.0035014005602240898,0.16677308082580566,24.816383361816406
384,768,47,even,44012,43858,154,0.0034990457148050534,0.20490026473999023,22.768019676208496
384,768,46,even,44110,43944,166,0.00376331897528905,0.2331852912902832,25.36747694015503
384,768,48,even,44178,44029,149,0.0033727194531214632,0.2061624526977539,30.095190286636353
384,768,49,even,44424,44301,123,0.0027687736358725013,0.19287633895874023,25.370508432388306
384,768,51,even,44086,43941,145,0.003289025994646827,0.19535160064697266,25.641582250595093
384,768,50,even,44057,43935,122,0.0027691399777560887,0.25287461280822754,30.436605215072632
384,768,52,even,44204,44069,135,0.0030540222604289206,0.17656326293945312,28.408287525177002
384,768,53,even,44083,43948,135,0.0030624050087335254,0.18157529830932617,29.81861400604248
384,768,55,even,44085,43953,132,0.002994215719632528,0.2469160556793213,27.80243229866028
