n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
448,896,0,even,60331,60185,146,0.0024199830932688004,0.28513216972351074,45.897480487823486
448,896,2,even,60472,60296,176,0.0029104378886096044,0.26799535751342773,41.68360757827759
448,896,1,even,60276,60128,148,0.002455371955670582,0.279721736907959,46.49669528007507
448,896,3,even,60085,59950,135,0.0022468170092369145,0.26766252517700195,44.57680082321167
448,896,4,even,60398,60252,146,0.0024172985860458954,0.2700033187866211,45.450114727020264
448,896,5,even,60123,59964,159,0.0026445786138416245,0.2690010070800781,41.65771532058716
448,896,6,even,60621,60446,175,0.002886788406657759,0.25086331367492676,42.54298663139343
448,896,7,even,60128,59972,156,0.002594465141032464,0.3304469585418701,41.98373198509216
448,896,9,even,60877,60721,156,0.002562544146393548,0.2865912914276123,41.4331431388855
448,896,8,even,60289,60131,158,0.002620710245650119,0.387420654296875,50.98024916648865
448,896,10,even,59975,59808,167,0.0027844935389745727,0.33661603927612305,51.09853267669678
448,896,13,even,60534,60337,197,0.0032543694452704264,0.28824782371520996,46.270824909210205
448,896,11,even,60313,60151,162,0.0026859880954354784,0.2568666934967041,51.800626039505005
448,896,14,even,60439,60263,176,0.0029120270024322044,0.28671836853027344,44.659738540649414
448,896,12,even,59930,59788,142,0.0023694310028366428,0.29216766357421875,51.803574562072754
448,896,15,even,60220,60063,157,0.002607107273331119,0.2855644226074219,41.285722732543945
448,896,16,even,60218,60072,146,0.002424524228635956,0.302933931350708,41.923720359802246
448,896,17,even,60235,60110,125,0.0020752054453390886,0.2740364074707031,48.9128532409668
448,896,20,even,59669,59515,154,0.002580904657359768,0.26858091354370117,41.374176263809204
448,896,18,even,60574,60428,146,0.0024102750354937762,0.2658045291900635,45.68023443222046
448,896,22,even,60603,60434,169,0.0027886408263617314,0.25749683380126953,39.7546443939209
448,896,21,even,60513,60340,173,0.0028588898253267894,0.285489559173584,46.020061016082764
448,896,19,even,60300,60148,152,0.002520729684908789,0.3548853397369385,50.04607367515564
448,896,23,even,60395,60241,154,0.0025498799569500788,0.24384593963623047,45.70439553260803
448,896,24,even,60014,59843,171,0.0028493351551304694,0.26776671409606934,45.71583938598633
448,896,25,even,60566,60412,154,0.0025426807119505995,0.27394628524780273,40.81271839141846
448,896,28,even,60592,60434,158,0.0026076049643517295,0.32007837295532227,41.5915412902832
448,896,26,even,60278,60116,162,0.002687547695676698,0.3394942283630371,46.33628273010254
448,896,29,even,60083,59933,150,0.0024965464440856815,0.27120065689086914,41.83613109588623
448,896,27,even,60018,59857,161,0.002682528574760905,0.274461030960083,46.00434923171997
448,896,31,even,60528,60390,138,0.002279936558287074,0.26811838150024414,40.9794979095459
448,896,30,even,59932,59743,189,0.0031535740505906694,0.27321839332580566,47.97437906265259
448,896,32,even,60290,60154,136,0.002255763808260076,0.24564886093139648,45.78171491622925
448,896,33,even,60512,60350,162,0.0026771549444738235,0.26994800567626953,45.5176465511322
448,896,34,even,60618,60445,173,0.002853937774258471,0.28714537620544434,39.38484835624695
448,896,35,even,60251,60103,148,0.0024563907652985014,0.41479921340942383,41.94634461402893
448,896,37,even,59823,59658,165,0.0027581365026829144,0.3254218101501465,41.72565221786499
448,896,36,even,60682,60533,149,0.0024554233545367654,0.3114755153656006,46.16516327857971
448,896,39,even,60279,60127,152,0.002521607856799217,0.2661111354827881,44.73089838027954
448,896,38,even,60475,60318,157,0.0025961140967341876,0.27585339546203613,50.71300959587097
448,896,41,even,60367,60219,148,0.0024516706147398415,0.2668631076812744,41.71113681793213
448,896,40,even,60301,60129,172,0.002852357340674284,0.2664825916290283,46.301209688186646
448,896,42,even,60166,59993,173,0.0028753781205331915,0.2533762454986572,51.36075210571289
448,896,43,even,60505,60339,166,0.0027435749111643665,0.26877737045288086,41.64848351478577
448,896,44,even,60223,60047,176,0.002922471480995633,0.35079169273376465,39.243709087371826
448,896,45,even,60213,60077,136,0.0022586484646172755,0.2855997085571289,45.599282026290894
448,896,47,even,60139,59986,153,0.0025441061540763896,0.33706188201904297,42.917959690093994
448,896,46,even,60111,59957,154,0.002561927101528838,0.2717256546020508,50.35547351837158
448,896,48,even,60090,59932,158,0.0026293892494591445,0.2774240970611572,49.39466118812561
448,896,49,even,60057,59909,148,0.002464325557387149,0.2686319351196289,50.32413959503174
448,896,50,even,60063,59907,156,0.002597272863493332,0.2930741310119629,44.2964026927948
448,896,51,even,60057,59896,161,0.0026807865860765607,0.2692844867706299,41.183619260787964
448,896,52,even,60444,60283,161,0.002663622526636225,0.2818279266357422,40.59215784072876
448,896,53,even,60104,59944,160,0.002662052442433116,0.3108077049255371,42.692124366760254
448,896,54,even,59909,59762,147,0.002453721477574321,0.3228874206542969,42.09049439430237
448,896,55,even,60184,60058,126,0.0020935796889538748,0.338062047958374,44.76764440536499
448,896,57,even,59926,59777,149,0.0024863998932016153,0.4373302459716797,44.9379608631134
448,896,56,even,60534,60371,163,0.00269270162222883,0.34357166290283203,51.104055881500244
448,896,58,even,60151,59981,170,0.0028262206779604664,0.28116321563720703,46.947420835494995
448,896,59,even,60088,59966,122,0.002030355478631341,0.2806851863861084,42.74890184402466
448,896,60,even,59984,59795,189,0.0031508402240597493,0.23122358322143555,40.7376594543457
448,896,61,even,60431,60278,153,0.002531813142261422,0.26275038719177246,45.703789710998535
