n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
768,1536,93,even,177395,177139,256,0.0014431071901688322,0.992978572845459,269.49257159233093
768,1536,96,even,177619,177341,278,0.0015651478726937996,0.8821120262145996,257.2942419052124
768,1536,99,even,176395,176154,241,0.0013662518778876952,0.8444037437438965,270.72307443618774
768,1536,98,even,177085,176823,262,0.0014795154869130644,0.7631571292877197,288.57820200920105
768,1536,0,even,176974,176738,236,0.0013335292189813194,0.40439844131469727,220.84010338783264
768,1536,1,even,177063,176782,281,0.001587005755013752,0.8368163108825684,222.7726821899414
768,1536,4,even,176745,176476,269,0.0015219666751534696,0.8300864696502686,208.44897603988647
768,1536,2,even,176627,176389,238,0.0013474723570009114,0.8405246734619141,237.62853288650513
768,1536,3,even,176722,176468,254,0.001437285680334084,0.8274552822113037,241.9157109260559
768,1536,5,even,177092,176838,254,0.001434282745691505,0.8369605541229248,210.53873944282532
768,1536,6,even,176998,176746,252,0.0014237449010723285,0.8314290046691895,222.60798478126526
768,1536,7,even,176724,176425,299,0.0016919037595346416,0.7837934494018555,196.46135830879211
768,1536,8,even,176897,176611,286,0.0016167600355008846,0.9679982662200928,209.9877724647522
768,1536,9,even,177237,176954,283,0.0015967320593329834,0.8382196426391602,223.99804615974426
768,1536,10,even,177442,177147,295,0.0016625150753485647,0.784311056137085,223.77694082260132
768,1536,11,even,176780,176513,267,0.0015103518497567598,0.8257248401641846,235.7526307106018
768,1536,14,even,177094,176864,230,0.001298745299106689,0.7984762191772461,201.24181365966797
768,1536,12,even,176394,176120,274,0.0015533408165810628,0.8258981704711914,232.3275215625763
768,1536,13,even,176884,176647,237,0.0013398611519413854,0.7944777011871338,222.82560229301453
768,1536,16,even,176923,176620,303,0.0017126094402649741,0.7482738494873047,196.02211117744446
768,1536,15,even,177408,177170,238,0.001341540404040404,0.8350622653961182,238.4653046131134
768,1536,19,even,177353,177100,253,0.0014265335235378032,0.8582150936126709,200.0464653968811
768,1536,18,even,177018,176787,231,0.0013049520387757177,0.8427777290344238,227.0332968235016
768,1536,17,even,177710,177471,239,0.0013448877384502841,0.8345284461975098,234.0416078567505
768,1536,20,even,176257,175988,269,0.0015261805204899663,0.8246185779571533,214.20467591285706
768,1536,21,even,176094,175824,270,0.0015332720024532351,0.8324213027954102,200.2909231185913
768,1536,22,even,177237,176946,291,0.001641869361363598,0.827211856842041,211.568834066391
768,1536,24,even,176405,176151,254,0.0014398684844533886,0.8119258880615234,203.92057275772095
768,1536,23,even,176688,176428,260,0.0014715204201756768,0.8303968906402588,232.1515235900879
768,1536,26,even,176888,176602,286,0.0016168422956899281,0.7986671924591064,218.10362243652344
768,1536,25,even,176862,176610,252,0.0014248397055331276,0.7707293033599854,265.4256782531738
768,1536,27,even,176885,176612,273,0.001543375639539814,0.8246619701385498,225.97240781784058
768,1536,28,even,176881,176595,286,0.001616906281624369,0.8482420444488525,237.08838200569153
768,1536,29,even,176780,176539,241,0.001363276388731757,0.8444764614105225,248.048583984375
768,1536,30,even,177157,176911,246,0.0013885988134818268,0.8153636455535889,234.99891662597656
768,1536,31,even,177317,177078,239,0.0013478685066857662,0.8456456661224365,210.64761352539062
768,1536,33,even,177675,177394,281,0.0015815393274236668,0.8272771835327148,213.07176041603088
768,1536,32,even,176840,176590,250,0.0014137073060393576,0.8353056907653809,220.74227380752563
768,1536,34,even,177344,177054,290,0.0016352399855647781,0.7502963542938232,195.5299928188324
