n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
576,1152,2,even,99701,99520,181,0.001815428130109026,0.4414703845977783,87.19512391090393
576,1152,6,even,99521,99306,215,0.00216034806724209,0.44506025314331055,85.7950792312622
576,1152,8,even,99356,99132,224,0.0022545191030234712,0.44325995445251465,87.57530474662781
576,1152,1,even,99705,99511,194,0.0019457399328017652,0.49985384941101074,93.49721312522888
576,1152,4,even,99423,99253,170,0.0017098659263953008,0.44267988204956055,92.50583004951477
576,1152,5,even,99256,99075,181,0.0018235673410171677,0.5996372699737549,94.19186210632324
576,1152,7,even,99891,99683,208,0.0020822696739445997,0.435133695602417,94.24455642700195
576,1152,0,even,99806,99624,182,0.0018235376630663486,0.44056200981140137,96.83792185783386
576,1152,3,even,99536,99335,201,0.002019369876225687,0.46468234062194824,101.69062876701355
576,1152,15,even,99928,99697,231,0.002311664398366824,0.44892120361328125,80.48989534378052
576,1152,10,even,99720,99505,215,0.002156036903329322,0.4365355968475342,86.98731327056885
576,1152,9,even,99667,99468,199,0.001996648840639329,0.4962289333343506,87.36215281486511
576,1152,13,even,99621,99414,207,0.0020778751468063963,0.4686882495880127,85.83660411834717
576,1152,12,even,98966,98790,176,0.0017783885374775175,0.4595508575439453,87.68114280700684
576,1152,16,even,99932,99703,229,0.002291558259616539,0.4443812370300293,83.84998393058777
576,1152,14,even,99440,99229,211,0.0021218825422365246,0.4468710422515869,101.55595564842224
576,1152,17,even,99963,99769,194,0.0019407180656843032,0.4426441192626953,92.5447564125061
576,1152,11,even,99309,99113,196,0.001973637837456827,0.4832158088684082,108.51538252830505
576,1152,18,even,99665,99466,199,0.0019966889078412682,0.6330127716064453,79.02064037322998
576,1152,19,even,99791,99597,194,0.0019440630918619915,0.6024022102355957,83.99667620658875
576,1152,20,even,99416,99204,212,0.002132453528607065,0.5497419834136963,86.8387279510498
576,1152,22,even,99894,99706,188,0.0018819949146094861,0.44379591941833496,87.10364103317261
576,1152,23,even,99816,99597,219,0.0021940370281317624,0.4761083126068115,86.51360845565796
576,1152,21,even,99323,99117,206,0.0020740412593256347,0.44122314453125,89.57120490074158
576,1152,24,even,99295,99095,200,0.002014200110781006,0.4612550735473633,78.26770448684692
576,1152,25,even,99936,99748,188,0.0018812039705411463,0.44172120094299316,85.75554251670837
576,1152,26,even,99731,99513,218,0.002185880017246393,0.4396662712097168,94.84335732460022
576,1152,27,even,99265,99062,203,0.002045030977685992,0.4857356548309326,81.77573251724243
576,1152,29,even,99217,99013,204,0.0020560992571837487,0.43967199325561523,78.6007661819458
576,1152,28,even,99397,99194,203,0.0020423151604173164,0.49051642417907715,85.11104965209961
576,1152,31,even,99831,99641,190,0.0019032164357764621,0.4398012161254883,79.75599765777588
576,1152,33,even,99802,99566,236,0.002364682070499589,0.47037363052368164,84.47884321212769
576,1152,34,even,99836,99656,180,0.0018029568492327417,0.44312310218811035,78.21059465408325
576,1152,32,even,99589,99376,213,0.0021387904286618,0.4391608238220215,94.15654182434082
576,1152,30,even,99209,99039,170,0.0017135542138314065,0.44542622566223145,102.70735955238342
576,1152,35,even,99481,99263,218,0.002191373227048381,0.4408454895019531,85.61398935317993
576,1152,37,even,99421,99217,204,0.0020518803874432965,0.436509370803833,78.88126730918884
576,1152,36,even,100123,99886,237,0.0023670884811681633,0.4403066635131836,80.04650521278381
576,1152,38,even,99862,99681,181,0.0018125012517273837,0.43765711784362793,79.53849291801453
576,1152,41,even,100077,99888,189,0.0018885458197188164,0.4443337917327881,88.32334423065186
576,1152,40,even,99738,99551,187,0.0018749122701477872,0.543501615524292,92.99030113220215
576,1152,39,even,100139,99977,162,0.0016177513256573363,0.4496345520019531,109.10911297798157
576,1152,42,even,99635,99438,197,0.0019772168414713704,0.47319841384887695,94.31363654136658
576,1152,43,even,99798,99619,179,0.0017936231186997736,0.3718299865722656,93.94826769828796
576,1152,44,even,99620,99427,193,0.0019373619755069264,0.4188258647918701,82.85571146011353
576,1152,46,even,99644,99449,195,0.0019569668018144595,0.4701659679412842,80.2984983921051
576,1152,47,even,98985,98771,214,0.0021619437288478054,0.4044167995452881,90.06755089759827
576,1152,45,even,100148,99957,191,0.0019071773774813276,0.498809814453125,93.337229013443
576,1152,48,even,99552,99348,204,0.0020491803278688526,0.44349241256713867,79.31754779815674
576,1152,49,even,99960,99735,225,0.0022509003601440575,0.4437217712402344,78.8968505859375
576,1152,50,even,99332,99125,207,0.0020839205895381145,0.45346689224243164,76.38899970054626
576,1152,51,even,99758,99544,214,0.002145191363098699,0.43813419342041016,85.35307908058167
576,1152,52,even,99564,99348,216,0.0021694588405447753,0.4435451030731201,87.37913942337036
576,1152,53,even,99419,99240,179,0.001800460676530643,0.411405086517334,94.91368246078491
576,1152,54,even,99680,99525,155,0.001554975922953451,0.4396839141845703,86.6589286327362
576,1152,55,even,99572,99371,201,0.002018639778250914,0.48214292526245117,79.04873275756836
576,1152,56,even,99727,99515,212,0.0021258034434004833,0.44319581985473633,84.77896761894226
576,1152,58,even,99401,99176,225,0.0022635587167131118,0.51385498046875,78.63833117485046
576,1152,57,even,99609,99394,215,0.002158439498438896,0.4660933017730713,86.68384552001953
576,1152,59,even,99626,99427,199,0.001997470539818923,0.44265103340148926,95.67098355293274
576,1152,60,even,99503,99270,233,0.002341637940564606,0.44595956802368164,87.5669252872467
576,1152,62,even,99941,99734,207,0.0020712220209923855,0.4173574447631836,86.43687272071838
576,1152,61,even,99638,99427,211,0.002117665950741685,0.4228029251098633,93.75320506095886
576,1152,64,even,99639,99411,228,0.002288260620841237,0.44938063621520996,78.94202375411987
576,1152,63,even,99120,98909,211,0.0021287328490718323,0.43621182441711426,80.80139636993408
576,1152,65,even,99296,99101,195,0.0019638253303254916,0.4438307285308838,82.37422299385071
576,1152,66,even,99483,99272,211,0.0021209653910718414,0.4404284954071045,79.05326890945435
576,1152,67,even,100106,99874,232,0.002317543403991769,0.47017979621887207,84.66107368469238
576,1152,69,even,99572,99353,219,0.0021994134897360706,0.4452533721923828,78.54718828201294
576,1152,68,even,99820,99652,168,0.0016830294530154279,0.44352126121520996,85.99777889251709
576,1152,71,even,100423,100220,203,0.002021449269589636,0.44079065322875977,77.97346258163452
576,1152,70,even,99481,99288,193,0.0019400689578914566,0.4403555393218994,102.66443538665771
576,1152,72,even,99067,98841,226,0.0022812843832961532,0.44246935844421387,93.43437576293945
576,1152,75,even,99950,99745,205,0.0020510255127563783,0.390688419342041,79.76899909973145
576,1152,73,even,99495,99290,205,0.0020604050454796725,0.44338274002075195,94.53540635108948
576,1152,74,even,100141,99928,213,0.0021270009286905463,0.4515683650970459,88.81808161735535
576,1152,77,even,99776,99556,220,0.002204939063502245,0.4441213607788086,79.57397699356079
576,1152,76,even,100050,99851,199,0.0019890054972513745,0.40050554275512695,94.08189177513123
576,1152,78,even,99674,99460,214,0.0021469992174488832,0.44644856452941895,81.15671515464783
576,1152,79,even,99278,99067,211,0.0021253449908338203,0.45491909980773926,79.17695045471191
576,1152,80,even,99902,99704,198,0.001981942303457388,0.43363380432128906,89.4559805393219
576,1152,82,even,99910,99688,222,0.0022219997998198376,0.4768080711364746,88.04736542701721
576,1152,83,even,99215,99015,200,0.0020158242201280046,0.5361437797546387,94.2561821937561
576,1152,81,even,99839,99643,196,0.001963160688708821,0.44715094566345215,96.68729853630066
576,1152,84,even,99123,98890,233,0.0023506148926081736,0.4621877670288086,96.11140275001526
576,1152,86,even,99258,99039,219,0.002206371274859457,0.4561448097229004,78.48891544342041
576,1152,85,even,99739,99562,177,0.0017746317889692097,0.4660515785217285,85.73067784309387
576,1152,87,even,99855,99666,189,0.0018927444794952682,0.4059908390045166,94.37156319618225
576,1152,88,even,99881,99687,194,0.0019423113505071035,0.4433014392852783,94.82755899429321
576,1152,89,even,99627,99455,172,0.001726439619781786,0.42291808128356934,81.13394165039062
576,1152,91,even,99944,99732,212,0.0021211878652045144,0.505141019821167,77.83458709716797
576,1152,90,even,99581,99388,193,0.0019381207258412749,0.404632568359375,85.6914963722229
576,1152,93,even,99504,99298,206,0.002070268531918315,0.4545624256134033,80.39128923416138
576,1152,94,even,99099,98891,208,0.0020989111898202808,0.4480102062225342,80.09402751922607
576,1152,92,even,99291,99091,200,0.002014281254091509,0.5479443073272705,93.10614585876465
576,1152,95,even,99518,99318,200,0.002009686689845053,0.44377660751342773,84.55338144302368
576,1152,97,even,99270,99063,207,0.002085222121486854,0.44052886962890625,79.47326278686523
576,1152,96,even,100608,100394,214,0.0021270674300254452,0.46033501625061035,93.82765436172485
576,1152,98,even,99347,99118,229,0.002305051989491379,0.4746685028076172,77.33456587791443
576,1152,99,even,99650,99436,214,0.002147516307074762,0.45241451263427734,84.96546459197998
