n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
320,640,1,even,31073,30950,123,0.003958420493676182,0.07295393943786621,10.808641910552979
320,640,0,even,30659,30543,116,0.0037835545842982484,0.0712125301361084,14.000164270401001
320,640,2,even,30934,30809,125,0.004040861188336458,0.07165241241455078,10.35378885269165
320,640,3,even,30568,30484,84,0.002747971735147867,0.07228779792785645,11.305540323257446
320,640,5,even,30545,30421,124,0.004059584220003274,0.07274079322814941,11.097070932388306
320,640,4,even,30569,30469,100,0.0032712879060486115,0.09152770042419434,11.656604766845703
320,640,6,even,30765,30638,127,0.004128067609296278,0.07184171676635742,11.724937677383423
320,640,7,even,30618,30505,113,0.003690639493108629,0.07176446914672852,12.407793760299683
320,640,8,even,30876,30763,113,0.0036598004922917477,0.07358741760253906,12.82080340385437
320,640,10,even,30728,30607,121,0.0039377766206717,0.07351899147033691,11.205532312393188
320,640,9,even,30795,30684,111,0.0036044812469556748,0.07213187217712402,11.634349822998047
320,640,11,even,30676,30565,111,0.0036184639457556397,0.07416725158691406,11.104160785675049
320,640,12,even,30563,30448,115,0.003762719628308739,0.07409191131591797,11.215733528137207
320,640,15,even,30932,30821,111,0.0035885167464114833,0.10092806816101074,10.38349723815918
320,640,16,even,30692,30575,117,0.0038120682914114428,0.07584547996520996,10.120589017868042
320,640,14,even,30628,30492,136,0.004440381350398329,0.07262849807739258,12.545202016830444
320,640,13,even,30740,30609,131,0.004261548471047495,0.1347663402557373,12.738348245620728
320,640,17,even,31061,30936,125,0.004024339203502785,0.07380056381225586,11.636778831481934
320,640,18,even,30971,30850,121,0.003906880630267024,0.12796449661254883,10.535698175430298
320,640,20,even,30920,30804,116,0.0037516170763260024,0.07209968566894531,10.544190168380737
320,640,19,even,30660,30538,122,0.003979125896934116,0.07214117050170898,11.980111837387085
320,640,21,even,30686,30572,114,0.003715049208107932,0.0746147632598877,11.07820463180542
320,640,22,even,30770,30664,106,0.003444913877153071,0.0712440013885498,11.088497638702393
320,640,24,even,30742,30630,112,0.003643224253464316,0.0941321849822998,11.009934902191162
320,640,23,even,30953,30840,113,0.0036506962168448938,0.07455968856811523,11.95607304573059
320,640,25,even,30708,30595,113,0.0036798228474664582,0.07272911071777344,12.599029064178467
320,640,27,even,30571,30457,114,0.0037290242386575512,0.08529329299926758,10.72365951538086
320,640,26,even,30784,30656,128,0.004158004158004158,0.13098597526550293,11.612510442733765
320,640,28,even,30911,30787,124,0.004011516935718676,0.11070036888122559,11.455032110214233
