n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
192,384,1,even,11146,11060,86,0.0077157724744302885,0.02536940574645996,2.668349504470825
192,384,0,even,11012,10939,73,0.00662913185615692,0.025232553482055664,2.772963523864746
192,384,2,even,11006,10949,57,0.005178993276394693,0.024779319763183594,3.0581159591674805
192,384,3,even,11121,11037,84,0.007553277582951173,0.02525925636291504,2.6959357261657715
192,384,4,even,11048,10990,58,0.0052498189717595945,0.03688836097717285,2.926027774810791
192,384,5,even,10940,10865,75,0.006855575868372943,0.025437593460083008,2.8664259910583496
192,384,6,even,11062,10994,68,0.006147170493581631,0.025147199630737305,2.786029815673828
192,384,7,even,11170,11096,74,0.006624888093106535,0.025674104690551758,3.039377450942993
192,384,8,even,11007,10938,69,0.006268738075769964,0.02479696273803711,3.0136940479278564
192,384,9,even,11234,11153,81,0.007210254584297668,0.030927658081054688,2.780853748321533
192,384,11,even,11247,11171,76,0.006757357517560238,0.025557518005371094,2.5042457580566406
192,384,10,even,10984,10917,67,0.006099781500364166,0.05129575729370117,2.935299873352051
192,384,12,even,11054,10985,69,0.006242084313370725,0.02571725845336914,2.5002663135528564
192,384,14,even,11100,11027,73,0.006576576576576576,0.032610177993774414,2.632227897644043
192,384,13,even,11035,10982,53,0.004802899864068871,0.025327682495117188,2.7277233600616455
192,384,15,even,11092,11005,87,0.007843490804183196,0.0257415771484375,2.6426563262939453
192,384,16,even,11047,10973,74,0.00669865121752512,0.025409698486328125,2.8096249103546143
192,384,17,even,10948,10865,83,0.007581293386919985,0.026213884353637695,3.1288623809814453
192,384,19,even,11068,11007,61,0.005511384170581858,0.02549886703491211,2.7467217445373535
192,384,20,even,11120,11043,77,0.006924460431654676,0.025945186614990234,2.5056939125061035
192,384,18,even,11152,11096,56,0.005021520803443328,0.025858402252197266,3.0071346759796143
192,384,21,even,10917,10850,67,0.006137217184208116,0.031768798828125,2.8778457641601562
192,384,22,even,11126,11065,61,0.005482653244652166,0.03260493278503418,2.5335533618927
192,384,23,even,11156,11070,86,0.007708856220867695,0.025435209274291992,2.599915027618408
192,384,24,even,10983,10908,75,0.0068287353182190655,0.04389619827270508,2.7985622882843018
192,384,25,even,11112,11057,55,0.004949604031677466,0.03258180618286133,2.7591967582702637
192,384,26,even,11065,10994,71,0.006416629010393132,0.026044607162475586,3.2708709239959717
192,384,28,even,11053,10979,74,0.006695014928073826,0.025533199310302734,2.5145423412323
192,384,27,even,11026,10969,57,0.005169599129330673,0.0506434440612793,3.0631000995635986
192,384,29,even,11064,11000,64,0.005784526391901663,0.05373263359069824,2.9349777698516846
192,384,30,even,10895,10838,57,0.005231757687012391,0.03552722930908203,2.710935354232788
192,384,31,even,11110,11039,71,0.006390639063906391,0.07288122177124023,2.632166862487793
192,384,32,even,10978,10902,76,0.006922936782656221,0.025505781173706055,2.944209575653076
192,384,33,even,11100,11034,66,0.005945945945945946,0.03936576843261719,2.9552104473114014
192,384,34,even,11078,11016,62,0.005596678100740206,0.025700807571411133,2.8212509155273438
