n_qubits,layer_per_qubit,seed,gate_probs_type,naive,mincut,abs_saving,rel_saving,t_naive,t_mincut
512,1024,0,even,78853,78672,181,0.0022954104472879917,0.18005013465881348,44.647215366363525
512,1024,1,even,78923,78747,176,0.0022300216666877844,0.17933940887451172,47.89645552635193
512,1024,4,even,78653,78498,155,0.0019706813471831973,0.1802966594696045,48.5327250957489
512,1024,2,even,78994,78795,199,0.002519178671797858,0.18091130256652832,48.64027261734009
512,1024,3,even,78559,78401,158,0.0020112272304891863,0.1825273036956787,48.7237663269043
512,1024,5,even,78564,78394,170,0.0021638409449620693,0.1782362461090088,46.42292237281799
512,1024,8,even,78965,78756,209,0.0026467422275691763,0.1813197135925293,43.42808222770691
512,1024,6,even,79076,78860,216,0.0027315493955182356,0.20256614685058594,45.11579942703247
512,1024,7,even,78689,78515,174,0.002211236640445297,0.18064570426940918,48.176061153411865
512,1024,9,even,78634,78446,188,0.0023908233079838236,0.18464970588684082,51.28221535682678
512,1024,10,even,78744,78536,208,0.002641471096210505,0.23091363906860352,47.05443000793457
512,1024,11,even,78335,78158,177,0.002259526393055467,0.20314860343933105,47.43480205535889
512,1024,12,even,78232,78054,178,0.0022752837713467633,0.18225407600402832,49.53121829032898
512,1024,13,even,78644,78457,187,0.0023778037739687705,0.18188881874084473,48.23249578475952
512,1024,14,even,78688,78510,178,0.0022620984139894267,0.18294000625610352,47.87457537651062
512,1024,15,even,78678,78512,166,0.002109865527847683,0.17836594581604004,45.0679407119751
512,1024,16,even,78725,78537,188,0.0023880597014925373,0.19195222854614258,47.60632658004761
512,1024,18,even,78931,78761,170,0.002153779883695886,0.18148350715637207,45.15045404434204
512,1024,19,even,78738,78551,187,0.002374965074043029,0.1813962459564209,44.35630989074707
512,1024,17,even,78856,78694,162,0.0020543775996753576,0.1835789680480957,53.27168536186218
512,1024,20,even,78385,78207,178,0.0022708426357083626,0.17904162406921387,47.952781677246094
512,1024,21,even,78667,78479,188,0.002389820382117025,0.1789836883544922,47.083081007003784
512,1024,22,even,78563,78393,170,0.0021638684877105,0.1789391040802002,47.9069128036499
512,1024,23,even,78503,78344,159,0.0020254003031731273,0.1815798282623291,47.122809171676636
512,1024,24,even,78519,78336,183,0.0023306460856607953,0.18088293075561523,47.75687050819397
512,1024,25,even,79029,78835,194,0.0024547950752255502,0.1794910430908203,45.15201544761658
512,1024,27,even,78274,78095,179,0.0022868385415335873,0.17930173873901367,46.124380111694336
512,1024,29,even,78829,78652,177,0.002245366552918342,0.18148517608642578,44.605122566223145
512,1024,28,even,79040,78867,173,0.002188765182186235,0.18009543418884277,48.18277049064636
512,1024,26,even,78464,78312,152,0.001937194127243067,0.18141484260559082,55.076507568359375
512,1024,30,even,78714,78552,162,0.002058083695403613,0.17912530899047852,47.652179479599
512,1024,34,even,79171,79002,169,0.0021346199997473825,0.18152332305908203,44.82173776626587
512,1024,31,even,79104,78913,191,0.0024145428802588996,0.1835925579071045,48.961708545684814
512,1024,33,even,79123,78933,190,0.0024013245200510598,0.179703950881958,47.614046812057495
512,1024,32,even,78415,78254,161,0.0020531786010329657,0.18158268928527832,50.923168897628784
512,1024,35,even,78412,78203,209,0.0026654083558638984,0.19873404502868652,43.5401816368103
512,1024,36,even,79109,78913,196,0.0024775942054633482,0.19086360931396484,47.503058433532715
512,1024,39,even,78804,78630,174,0.002208009745698188,0.18012690544128418,43.78121519088745
512,1024,38,even,78924,78741,183,0.0023186863311540217,0.17943787574768066,46.16610550880432
512,1024,37,even,78425,78239,186,0.0023716927000318774,0.17976903915405273,50.05968117713928
512,1024,40,even,78612,78438,174,0.00221340253396428,0.18218421936035156,46.64388346672058
512,1024,41,even,78944,78741,203,0.0025714430482367246,0.19178414344787598,44.237305879592896
512,1024,44,even,78971,78807,164,0.002076711704296514,0.17760443687438965,44.64850378036499
512,1024,43,even,78974,78810,164,0.0020766328158634485,0.18319487571716309,47.66231393814087
512,1024,42,even,78565,78349,216,0.002749315853115255,0.1798110008239746,48.330119609832764
512,1024,45,even,78568,78380,188,0.0023928316872008962,0.17968273162841797,48.92819380760193
512,1024,46,even,78603,78415,188,0.002391766217574393,0.1824643611907959,43.27254772186279
512,1024,49,even,78753,78570,183,0.00232372100110472,0.17879962921142578,45.04753065109253
512,1024,47,even,78536,78366,170,0.0021646124070489967,0.17848730087280273,48.36015748977661
512,1024,48,even,78574,78426,148,0.0018835747193728205,0.18105721473693848,48.072197914123535
512,1024,50,even,78731,78585,146,0.0018544156685422514,0.17758870124816895,47.4252724647522
512,1024,51,even,78692,78492,200,0.0025415544146800183,0.17812418937683105,47.25195622444153
512,1024,52,even,78593,78436,157,0.0019976333770183093,0.1797189712524414,47.83294987678528
512,1024,53,even,78698,78505,193,0.0024524130219319424,0.1851820945739746,48.152331590652466
512,1024,54,even,78684,78502,182,0.0023130496670225203,0.17943501472473145,48.95103979110718
512,1024,55,even,78598,78436,162,0.0020611211481208172,0.18150091171264648,47.589282512664795
512,1024,56,even,79067,78871,196,0.002478910291271959,0.1783435344696045,45.000164270401
512,1024,58,even,78552,78359,193,0.002456971178327732,0.18167638778686523,46.982123374938965
512,1024,57,even,78613,78411,202,0.002569549565593477,0.18574047088623047,51.58178448677063
512,1024,59,even,78505,78335,170,0.002165467167696325,0.18074417114257812,49.7281768321991
512,1024,60,even,78550,78371,179,0.0022788033099936347,0.17997431755065918,45.08229684829712
512,1024,61,even,79053,78871,182,0.002302252918927808,0.18121027946472168,47.725720167160034
512,1024,62,even,79002,78802,200,0.0025315814789499,0.18179011344909668,47.943472385406494
512,1024,64,even,78751,78570,181,0.0022983835125903163,0.17753314971923828,45.26653289794922
512,1024,63,even,78659,78515,144,0.001830686888976468,0.18338370323181152,50.456223249435425
512,1024,65,even,78776,78575,201,0.0025515385396567484,0.17792487144470215,47.531787633895874
512,1024,66,even,78463,78270,193,0.002459758102545149,0.1797928810119629,50.55022192001343
512,1024,67,even,78953,78775,178,0.0022545058452497057,0.20522737503051758,48.67424154281616
512,1024,69,even,78715,78512,203,0.002578923966207203,0.18222522735595703,45.691941261291504
512,1024,68,even,78509,78334,175,0.002229043803895095,0.18050026893615723,56.077502965927124
512,1024,70,even,78482,78302,180,0.0022935195331413574,0.18065738677978516,45.17407178878784
512,1024,71,even,79306,79136,170,0.0021435956926335966,0.1865549087524414,50.121514081954956
512,1024,73,even,78490,78288,202,0.0025735762517518153,0.17917609214782715,51.121119022369385
512,1024,72,even,78352,78170,182,0.0023228507249336327,0.17907071113586426,55.44601655006409
512,1024,74,even,78815,78659,156,0.001979318657615936,0.1830883026123047,48.433014154434204
512,1024,75,even,79123,78946,177,0.0022370233686791452,0.17702317237854004,47.514319896698
512,1024,76,even,79019,78848,171,0.002164036497551222,0.1807565689086914,44.45985722541809
512,1024,79,even,78578,78418,160,0.0020361933365573063,0.17966198921203613,45.193591833114624
512,1024,78,even,78851,78671,180,0.002282786521413806,0.18140888214111328,48.64423370361328
512,1024,77,even,78960,78757,203,0.0025709219858156026,0.1809678077697754,51.04450082778931
